seq_index,filename,ndtiff_file,column,row,z,x_px,y_px
0,0000.tif,new_NDTiffStack.tif,0,0,0,0.000,0.000
1,0001.tif,new_NDTiffStack.tif,0,1,0,0.000,1843.200
2,0002.tif,new_NDTiffStack.tif,0,2,0,0.000,3686.400
3,0003.tif,new_NDTiffStack.tif,0,3,0,0.000,5529.600
4,0004.tif,new_NDTiffStack.tif,0,4,0,0.000,7372.800
5,0005.tif,new_NDTiffStack.tif,0,5,0,0.000,9216.000
6,0006.tif,new_NDTiffStack.tif,0,6,0,0.000,11059.200
7,0007.tif,new_NDTiffStack.tif,0,7,0,0.000,12902.400
8,0008.tif,new_NDTiffStack.tif,0,8,0,0.000,14745.600
9,0009.tif,new_NDTiffStack.tif,0,9,0,0.000,16588.800
10,0010.tif,new_NDTiffStack.tif,0,10,0,0.000,18432.000
11,0011.tif,new_NDTiffStack.tif,0,11,0,0.000,20275.200
12,0012.tif,new_NDTiffStack.tif,0,12,0,0.000,22118.400
13,0013.tif,new_NDTiffStack.tif,0,13,0,0.000,23961.600
14,0014.tif,new_NDTiffStack.tif,0,14,0,0.000,25804.800
15,0015.tif,new_NDTiffStack.tif,0,15,0,0.000,27648.000
16,0016.tif,new_NDTiffStack.tif,0,16,0,0.000,29491.200
17,0017.tif,new_NDTiffStack.tif,0,17,0,0.000,31334.400
18,0018.tif,new_NDTiffStack.tif,0,18,0,0.000,33177.600
19,0019.tif,new_NDTiffStack.tif,0,19,0,0.000,35020.800
20,0020.tif,new_NDTiffStack.tif,0,20,0,0.000,36864.000
21,0021.tif,new_NDTiffStack.tif,1,20,0,1843.200,36864.000
22,0022.tif,new_NDTiffStack.tif,1,19,0,1843.200,35020.800
23,0023.tif,new_NDTiffStack.tif,1,18,0,1843.200,33177.600
24,0024.tif,new_NDTiffStack.tif,1,17,0,1843.200,31334.400
25,0025.tif,new_NDTiffStack.tif,1,16,0,1843.200,29491.200
26,0026.tif,new_NDTiffStack.tif,1,15,0,1843.200,27648.000
