seq_index,filename,ndtiff_file,column,row,z,x_px,y_px
0,0000.tif,new_NDTiffStack.tif,0,16,0,0.000,29491.200
1,0001.tif,new_NDTiffStack.tif,0,17,0,0.000,31334.400
2,0002.tif,new_NDTiffStack.tif,1,17,0,1843.200,31334.400
3,0003.tif,new_NDTiffStack.tif,1,16,0,1843.200,29491.200
4,0004.tif,new_NDTiffStack.tif,1,15,0,1843.200,27648.000
5,0005.tif,new_NDTiffStack.tif,2,13,0,3686.400,23961.600
6,0006.tif,new_NDTiffStack.tif,2,14,0,3686.400,25804.800
7,0007.tif,new_NDTiffStack.tif,2,15,0,3686.400,27648.000
8,0008.tif,new_NDTiffStack.tif,2,16,0,3686.400,29491.200
9,0009.tif,new_NDTiffStack.tif,2,17,0,3686.400,31334.400
10,0010.tif,new_NDTiffStack.tif,3,17,0,5529.600,31334.400
11,0011.tif,new_NDTiffStack.tif,3,16,0,5529.600,29491.200
12,0012.tif,new_NDTiffStack.tif,3,15,0,5529.600,27648.000
13,0013.tif,new_NDTiffStack.tif,3,14,0,5529.600,25804.800
14,0014.tif,new_NDTiffStack.tif,3,13,0,5529.600,23961.600
15,0015.tif,new_NDTiffStack.tif,3,12,0,5529.600,22118.400
16,0016.tif,new_NDTiffStack.tif,3,11,0,5529.600,20275.200
17,0017.tif,new_NDTiffStack.tif,4,10,0,7372.800,18432.000
18,0018.tif,new_NDTiffStack.tif,4,11,0,7372.800,20275.200
19,0019.tif,new_NDTiffStack.tif,4,12,0,7372.800,22118.400
20,0020.tif,new_NDTiffStack.tif,4,13,0,7372.800,23961.600
21,0021.tif,new_NDTiffStack.tif,4,14,0,7372.800,25804.800
22,0022.tif,new_NDTiffStack.tif,4,15,0,7372.800,27648.000
23,0023.tif,new_NDTiffStack.tif,4,16,0,7372.800,29491.200
24,0024.tif,new_NDTiffStack.tif,4,17,0,7372.800,31334.400
25,0025.tif,new_NDTiffStack.tif,5,17,0,9216.000,31334.400
26,0026.tif,new_NDTiffStack.tif,5,16,0,9216.000,29491.200
27,0027.tif,new_NDTiffStack.tif,5,15,0,9216.000,27648.000
28,0028.tif,new_NDTiffStack.tif,5,14,0,9216.000,25804.800
29,0029.tif,new_NDTiffStack.tif,5,13,0,9216.000,23961.600
30,0030.tif,new_NDTiffStack.tif,5,12,0,9216.000,22118.400
31,0031.tif,new_NDTiffStack.tif,5,11,0,9216.000,20275.200
32,0032.tif,new_NDTiffStack.tif,5,10,0,9216.000,18432.000
33,0033.tif,new_NDTiffStack.tif,5,9,0,9216.000,16588.800
34,0034.tif,new_NDTiffStack.tif,5,8,0,9216.000,14745.600
35,0035.tif,new_NDTiffStack.tif,6,6,0,11059.200,11059.200
36,0036.tif,new_NDTiffStack.tif,6,7,0,11059.200,12902.400
37,0037.tif,new_NDTiffStack.tif,6,8,0,11059.200,14745.600
38,0038.tif,new_NDTiffStack.tif,6,9,0,11059.200,16588.800
39,0039.tif,new_NDTiffStack.tif,6,10,0,11059.200,18432.000
40,0040.tif,new_NDTiffStack.tif,6,11,0,11059.200,20275.200
41,0041.tif,new_NDTiffStack.tif,6,12,0,11059.200,22118.400
42,0042.tif,new_NDTiffStack.tif,6,13,0,11059.200,23961.600
43,0043.tif,new_NDTiffStack.tif,6,14,0,11059.200,25804.800
44,0044.tif,new_NDTiffStack.tif,6,15,0,11059.200,27648.000
45,0045.tif,new_NDTiffStack.tif,6,16,0,11059.200,29491.200
46,0046.tif,new_NDTiffStack.tif,6,17,0,11059.200,31334.400
47,0047.tif,new_NDTiffStack.tif,7,15,0,12902.400,27648.000
48,0048.tif,new_NDTiffStack.tif,7,14,0,12902.400,25804.800
49,0049.tif,new_NDTiffStack.tif,7,13,0,12902.400,23961.600
50,0050.tif,new_NDTiffStack.tif,7,12,0,12902.400,22118.400
51,0051.tif,new_NDTiffStack.tif,7,11,0,12902.400,20275.200
52,0052.tif,new_NDTiffStack.tif,7,10,0,12902.400,18432.000
53,0053.tif,new_NDTiffStack.tif,7,9,0,12902.400,16588.800
54,0054.tif,new_NDTiffStack.tif,7,8,0,12902.400,14745.600
55,0055.tif,new_NDTiffStack.tif,7,7,0,12902.400,12902.400
56,0056.tif,new_NDTiffStack.tif,7,6,0,12902.400,11059.200
57,0057.tif,new_NDTiffStack.tif,7,5,0,12902.400,9216.000
58,0058.tif,new_NDTiffStack.tif,8,3,0,14745.600,5529.600
59,0059.tif,new_NDTiffStack.tif,8,4,0,14745.600,7372.800
60,0060.tif,new_NDTiffStack.tif,8,5,0,14745.600,9216.000
61,0061.tif,new_NDTiffStack.tif,8,6,0,14745.600,11059.200
62,0062.tif,new_NDTiffStack.tif,8,7,0,14745.600,12902.400
63,0063.tif,new_NDTiffStack.tif,8,8,0,14745.600,14745.600
64,0064.tif,new_NDTiffStack.tif,8,9,0,14745.600,16588.800
65,0065.tif,new_NDTiffStack.tif,8,10,0,14745.600,18432.000
66,0066.tif,new_NDTiffStack.tif,8,11,0,14745.600,20275.200
67,0067.tif,new_NDTiffStack.tif,8,12,0,14745.600,22118.400
68,0068.tif,new_NDTiffStack.tif,8,13,0,14745.600,23961.600
69,0069.tif,new_NDTiffStack.tif,8,14,0,14745.600,25804.800
70,0070.tif,new_NDTiffStack.tif,9,12,0,16588.800,22118.400
71,0071.tif,new_NDTiffStack.tif,9,11,0,16588.800,20275.200
72,0072.tif,new_NDTiffStack.tif,9,10,0,16588.800,18432.000
73,0073.tif,new_NDTiffStack.tif,9,9,0,16588.800,16588.800
74,0074.tif,new_NDTiffStack.tif,9,8,0,16588.800,14745.600
75,0075.tif,new_NDTiffStack.tif,9,7,0,16588.800,12902.400
76,0076.tif,new_NDTiffStack.tif,9,6,0,16588.800,11059.200
77,0077.tif,new_NDTiffStack.tif,9,5,0,16588.800,9216.000
78,0078.tif,new_NDTiffStack.tif,9,4,0,16588.800,7372.800
79,0079.tif,new_NDTiffStack.tif,9,3,0,16588.800,5529.600
80,0080.tif,new_NDTiffStack.tif,9,2,0,16588.800,3686.400
81,0081.tif,new_NDTiffStack.tif,9,1,0,16588.800,1843.200
82,0082.tif,new_NDTiffStack.tif,10,0,0,18432.000,0.000
83,0083.tif,new_NDTiffStack.tif,10,1,0,18432.000,1843.200
84,0084.tif,new_NDTiffStack.tif,10,2,0,18432.000,3686.400
85,0085.tif,new_NDTiffStack.tif,10,3,0,18432.000,5529.600
86,0086.tif,new_NDTiffStack.tif,10,4,0,18432.000,7372.800
87,0087.tif,new_NDTiffStack.tif,10,5,0,18432.000,9216.000
88,0088.tif,new_NDTiffStack.tif,10,6,0,18432.000,11059.200
89,0089.tif,new_NDTiffStack.tif,10,7,0,18432.000,12902.400
90,0090.tif,new_NDTiffStack.tif,10,8,0,18432.000,14745.600
91,0091.tif,new_NDTiffStack.tif,10,9,0,18432.000,16588.800
92,0092.tif,new_NDTiffStack.tif,10,10,0,18432.000,18432.000
93,0093.tif,new_NDTiffStack.tif,11,9,0,20275.200,16588.800
94,0094.tif,new_NDTiffStack.tif,11,8,0,20275.200,14745.600
95,0095.tif,new_NDTiffStack.tif,11,7,0,20275.200,12902.400
96,0096.tif,new_NDTiffStack.tif,11,6,0,20275.200,11059.200
97,0097.tif,new_NDTiffStack.tif,11,5,0,20275.200,9216.000
98,0098.tif,new_NDTiffStack.tif,11,4,0,20275.200,7372.800
99,0099.tif,new_NDTiffStack.tif,11,3,0,20275.200,5529.600
100,0100.tif,new_NDTiffStack.tif,11,2,0,20275.200,3686.400
